"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPL37A",7.31851635946376e-16,-0.488036471992671,0.767,0.915,2.37376078119207e-11
"LYSMD2",7.93887417465949e-16,1.36186411200739,0.271,0.09,2.57497383855081e-11
"HIBADH",8.10651128273338e-16,-1.4286331677058,0.198,0.394,2.62934693455457e-11
"COL14A1",8.43798103619519e-16,-1.76734410209751,0.18,0.383,2.73685914908991e-11
"NR4A1",8.48183769117256e-16,1.23599994165588,0.485,0.285,2.75108405513182e-11
"TPP1",8.83234077783882e-16,1.37937577432471,0.433,0.239,2.86476973129202e-11
"FAM20C",8.83446452706014e-16,-0.745258200432189,0.291,0.545,2.86545856935196e-11
"SAP30",8.98934930675147e-16,2.23349797683122,0.352,0.173,2.91569544764484e-11
"MATN2",9.01925462362664e-16,-1.86781171496223,0.165,0.356,2.9253952371733e-11
"ILF3",9.5562971898545e-16,-0.788793517990808,0.338,0.545,3.09958499352931e-11
"SIK3",1.01953030904702e-15,1.74801122397299,0.459,0.282,3.30684655739401e-11
"PRMT1",1.14256235452597e-15,-0.738638805011223,0.394,0.592,3.70590099690498e-11
"NAT9",1.18266990653765e-15,-1.72986633389551,0.152,0.343,3.83598984185486e-11
"RAP1GDS1",1.22900991246368e-15,1.87370172218876,0.35,0.173,3.98629365107595e-11
"NT5DC2",1.24906497114643e-15,-1.83497494032564,0.105,0.285,4.05134223391346e-11
"HSPA1A",1.33407552173091e-15,1.86594848280349,0.771,0.706,4.3270739547342e-11
"MIR24-2",1.33917732633473e-15,1.99985769879433,0.322,0.148,4.34362165796671e-11
"CST3",1.37024118262392e-15,1.35193364232799,0.778,0.831,4.44437727584068e-11
"CTD-2192J16.15",1.42214194373646e-15,1.41073411531346,0.422,0.224,4.61271739450919e-11
"NRXN1",1.43091655971538e-15,4.31850948696878,0.299,0.142,4.64117786143685e-11
"CADM1",1.47494387857317e-15,3.16777530669209,0.415,0.268,4.78398047015206e-11
"NET1",1.47948073947269e-15,-1.54661747163153,0.131,0.313,4.79869577847968e-11
"CDKN2C",1.50127220623912e-15,-1.78429123378301,0.128,0.317,4.86937640093657e-11
"PDS5B",1.54042265251911e-15,-0.888604433336907,0.335,0.553,4.99636087344572e-11
"MT-ND1",1.5650938940483e-15,-0.5303642657554,0.476,0.694,5.07638204534565e-11
"MLLT4",1.57496853594587e-15,-1.44296156707003,0.11,0.304,5.10841044634044e-11
"ARFGAP1",1.5843793218014e-15,-1.74268601719594,0.159,0.353,5.13893433026285e-11
"MAST4",1.59936933527523e-15,-1.64689577498718,0.11,0.293,5.1875544389652e-11
"EFNB1",1.62696206510261e-15,-2.06127817545992,0.095,0.265,5.27705145816033e-11
"YPEL5",1.8368624180249e-15,1.614364529049,0.518,0.337,5.95786325286375e-11
"KCNE4",1.83858518313468e-15,-1.16705039204421,0.189,0.402,5.96345104149733e-11
"TNS3",1.84322886770809e-15,-1.24633610332183,0.228,0.424,5.97851283241118e-11
"RAB32",2.0277880105129e-15,1.36226599435176,0.473,0.296,6.57713041209858e-11
"SLC39A7",2.11704694566558e-15,-1.22456849245033,0.235,0.431,6.86664176826630e-11
"SFXN1",2.1405988738101e-15,-1.41204689979798,0.14,0.329,6.94303244720306e-11
"AHR",2.17018449744605e-15,1.24943026302829,0.508,0.315,7.03899341746626e-11
"DPYSL3",2.21509585775707e-15,-0.905700115696892,0.229,0.447,7.18466341463505e-11
"NFE2L1",2.33833216293822e-15,-1.06654067995222,0.242,0.454,7.58438037049011e-11
"AC105402.4",2.35108509332578e-15,0.898785251436603,0.494,0.282,7.62574450020216e-11
"CDC42SE2",2.58965045698733e-15,2.43897448271033,0.338,0.164,8.39953125723842e-11
"SNCA",2.5941472872508e-15,1.80844433918607,0.361,0.184,8.41411672619797e-11
"SPRY4",2.99571126797147e-15,-1.40907490524308,0.149,0.339,9.71658949766546e-11
"TPM3",3.14907408054527e-15,0.990250892277025,0.657,0.534,1.02140217802486e-10
"TMEM248",3.3005259456115e-15,-1.06479043653068,0.313,0.524,1.07052559045909e-10
"TMEM185A",3.39326671492106e-15,-1.68235350439263,0.105,0.279,1.10060605898465e-10
"KIF13B",3.92361209460522e-15,1.78045539947493,0.294,0.124,1.2726235828852e-10
"FTH1P8",3.92915028057285e-15,2.27333301807855,0.354,0.176,1.2744198935038e-10
"ANKRD50",4.03736127985664e-15,-1.87889843106639,0.166,0.348,1.3095181311215e-10
"TMEM106B",4.17252371650256e-15,-0.950319449468841,0.243,0.447,1.35335806744761e-10
"ACTN1",4.33937022039682e-15,-1.03976407034002,0.268,0.476,1.40747473098571e-10
"CYTH3",4.54819247682042e-15,-1.15068197131971,0.254,0.457,1.4752062298567e-10
"BPTF",5.36724036848884e-15,-0.734782555699218,0.517,0.71,1.74086441351935e-10
"PLOD2",5.60872001385599e-15,-1.52476222798581,0.147,0.335,1.81918833649419e-10
"POM121",6.00388718554844e-15,-1.35912434359727,0.172,0.364,1.94736080863264e-10
"MARCH2",6.07225182836821e-15,1.79894246118329,0.278,0.112,1.96953488053123e-10
"CNPY3",6.29579080658762e-15,1.58218017346867,0.433,0.263,2.04203974811669e-10
"SULF1",6.54059236148293e-15,-1.40555475535847,0.135,0.321,2.12144113244699e-10
"ZNF652",6.54237121856008e-15,-1.006140764801,0.277,0.483,2.12201810473996e-10
"NKTR",7.2323276234357e-15,-0.806822797456395,0.529,0.702,2.34580546466137e-10
"GJA1",7.48116066414058e-15,-1.15976602190041,0.133,0.323,2.426514461414e-10
"SHC2",7.77049432063025e-15,-1.51563868060048,0.117,0.299,2.52035983289642e-10
"SRPX2",7.88009473100979e-15,-1.68066180562571,0.105,0.282,2.55590872600303e-10
"NR1D2",7.96763729891181e-15,-0.982278073401462,0.268,0.476,2.58430315790205e-10
"CD164",8.11398448470914e-15,-0.628669440278661,0.522,0.694,2.63177086761541e-10
"ISG15",8.17025858958078e-15,1.70757132056268,0.522,0.34,2.65002337353052e-10
"SUN2",8.89341422137672e-15,1.46753396085441,0.301,0.124,2.88457890270354e-10
"ULK3",9.5350919147221e-15,-1.50856130443129,0.105,0.28,3.09270706254011e-10
"MYO9B",9.90304598620775e-15,1.14320490667249,0.454,0.26,3.21205296562648e-10
"PDE5A",1.01151806006386e-14,-1.3454721384698,0.154,0.346,3.28085882781714e-10
"GOLGA2",1.10237173001239e-14,-1.22049784852025,0.243,0.441,3.57554270629518e-10
"SCN7A",1.1230846712519e-14,-1.43412612543725,0.121,0.306,3.64272513120554e-10
"RASGEF1B",1.20255790064143e-14,1.52749316150913,0.401,0.224,3.90049655073047e-10
"SEC61A1",1.42003764897484e-14,-0.782098538635402,0.308,0.513,4.60589211444989e-10
"C12orf23",1.42489018408469e-14,-0.826506816777891,0.31,0.515,4.62163131207871e-10
"ARID5A",1.4423018778807e-14,1.4973418738669,0.342,0.164,4.67810614090605e-10
"CLN8",1.4498578055097e-14,1.53951047955321,0.28,0.109,4.70261379217071e-10
"EIF4G1",1.50834522817555e-14,-1.43381463063169,0.128,0.31,4.8923177475874e-10
"RAP1A",1.5770269521914e-14,1.0972970237822,0.576,0.397,5.1150869194328e-10
"LGALS1",1.60538951390056e-14,-0.45058057525805,0.722,0.898,5.20708088833646e-10
"FNBP1",1.715748199391e-14,1.68539787192802,0.457,0.285,5.56502928472469e-10
"BOD1",1.73382809267525e-14,-1.02965902676196,0.249,0.439,5.62367141859216e-10
"NFKBIZ",1.8010081851054e-14,2.03535635211357,0.403,0.235,5.84157004838935e-10
"WIPF1",1.82627064103509e-14,1.11284585383865,0.517,0.34,5.92350882419733e-10
"hsa-mir-6723",1.8854073541703e-14,0.603275961176669,0.499,0.283,6.11531875325137e-10
"UGDH",1.89169230884234e-14,-1.93849796662719,0.128,0.299,6.13570400373014e-10
"HNRNPR",1.9014867694867e-14,-0.856489847526713,0.454,0.638,6.1674723368301e-10
"SNRPD2",1.90482050821642e-14,-0.64789040600226,0.447,0.625,6.17828531839996e-10
"SH3PXD2B",1.94728003575387e-14,-1.47593288138493,0.126,0.307,6.31600279596768e-10
"STK4",1.97091906613414e-14,1.71502402493704,0.469,0.285,6.3926759910061e-10
"RPL10",2.00032266526283e-14,-0.682838512367342,0.933,0.951,6.48804656478e-10
"ATP5J2",2.00284992759391e-14,-0.815895801719979,0.303,0.52,6.49624374015084e-10
"MFSD12",2.14114805921777e-14,2.11473242584498,0.301,0.14,6.94481373007285e-10
"FTLP3",2.19336397013231e-14,1.968524620254,0.35,0.161,7.11417603712413e-10
"IGF2R",2.20709987561044e-14,-1.04312377256672,0.263,0.458,7.15872844654246e-10
"PRDX2",2.25764772608959e-14,-0.832168990814888,0.256,0.457,7.32268039957158e-10
"CDK4",2.29204179188839e-14,-0.745378162634229,0.282,0.491,7.43423755199e-10
"NRBP1",2.39341310488467e-14,-0.921453953935186,0.371,0.559,7.76303540569344e-10
"ARRDC3",2.40313435379909e-14,1.49736877502987,0.473,0.306,7.79456627654735e-10
"MIA3",2.44464852226332e-14,-0.991518709120263,0.322,0.513,7.92921748196107e-10
"MRPL28",2.46070328957471e-14,-1.1581213143926,0.256,0.452,7.98129111973558e-10
"UPP1",2.48896019409959e-14,1.20494904586144,0.38,0.195,8.07294238956201e-10
"SH3KBP1",2.57344473126961e-14,1.39331594527545,0.401,0.217,8.34696798587296e-10
"PDLIM7",2.6154793559085e-14,-0.965433282897992,0.25,0.463,8.48330729088923e-10
"RP5-857K21.7",2.65462897049742e-14,0.738026230067607,0.475,0.263,8.61028906580839e-10
"EPB41L3",2.71134155599247e-14,1.65641712210421,0.366,0.192,8.79423633686158e-10
"H2AFZ",2.76362410272472e-14,0.639082901463467,0.664,0.524,8.96381477718763e-10
"BCL7C",2.78816992130535e-14,-0.913859949976908,0.224,0.42,9.04342913975392e-10
