"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NT5C3A",3.89771100179274e-07,0.408807044380343,0.488,0.269,0.0126422256343147
"KPNB1",3.92804815935788e-07,0.280263619928213,0.695,0.43,0.0127406242048773
"PRKAR1B",3.93851976613824e-07,0.216107990099363,0.32,0.153,0.0127745888614694
"C7orf60",3.94541292790893e-07,0.135432511042966,0.291,0.133,0.0127969468316726
"RRN3",3.97590787472201e-07,0.1701089352831,0.335,0.161,0.0128958571916608
"C14orf37",3.97751795998008e-07,0.471487723560122,0.291,0.136,0.0129010795031954
"PIK3C2A",4.01697350230474e-07,0.361245234300184,0.527,0.299,0.0130290535547254
"PELI1",4.02380773439203e-07,0.26754262951795,0.517,0.306,0.0130512203865006
"ACOT7",4.03227242204551e-07,0.229626759231264,0.256,0.112,0.0130786756009046
"FLOT1",4.03280430793285e-07,0.381143834523851,0.635,0.389,0.0130804007727802
"MAP2K5",4.03617193655553e-07,0.407348983695625,0.433,0.232,0.0130913236762179
"SNIP1",4.03703433950095e-07,0.542350861485857,0.291,0.134,0.0130941208801713
"DAPK3",4.05825050086215e-07,0.401773263862788,0.384,0.198,0.0131629354995464
"GCFC2",4.076943706775e-07,0.293864368768365,0.35,0.172,0.0132235669129247
"KATNA1",4.09660112591499e-07,0.272119109179479,0.32,0.151,0.0132873257519053
"RBMS2",4.12994385090639e-07,0.461770685210351,0.315,0.153,0.0133954728804149
"STEAP1B",4.13860389325922e-07,0.406389693762984,0.453,0.257,0.0134235617277863
"POSTN",4.13889657150612e-07,0.296256411046841,0.7,0.47,0.0134245110296801
"TMEM8A",4.14916644764658e-07,0.266431267227129,0.325,0.156,0.0134578213729417
"ZNF274",4.16103410249553e-07,0.415531549604925,0.296,0.139,0.0134963141114443
"EIF2B5",4.16215384807424e-07,0.425984885000597,0.36,0.177,0.0134999460062288
"DAB1",4.16546643997493e-07,0.850662628771848,0.296,0.144,0.0135106903980587
"PGM3",4.16675410440778e-07,0.353609097537315,0.424,0.221,0.0135148669376466
"PRR4",4.18367162403094e-07,0.150516723691783,0.429,0.225,0.0135697389125444
"FAM193B",4.19692229186497e-07,0.395494016976983,0.33,0.158,0.013612717453664
"P4HB",4.21371148111755e-07,0.335642116607184,0.911,0.661,0.0136671731890048
"PTK2",4.23062495009087e-07,0.334493827519091,0.626,0.387,0.0137220320256197
"ANO6",4.24561100560293e-07,0.298035045767847,0.571,0.332,0.0137706392966731
"EGLN1",4.25758237171747e-07,0.331879605700789,0.414,0.214,0.0138094684226656
"ATP2B4",4.2913524708874e-07,0.221210119997183,0.606,0.358,0.0139190017393233
"CREBBP",4.29771035948459e-07,0.340450471521144,0.611,0.387,0.0139396235509883
"CLASP2",4.32614370968464e-07,0.507785591995622,0.463,0.271,0.0140318471223621
"SLC17A5",4.34389286337107e-07,0.405084000740529,0.296,0.139,0.0140894165023441
"SSFA2",4.36565974100997e-07,0.357567027859528,0.557,0.336,0.0141600173699658
"MAPKAP1",4.39905514326197e-07,0.290920258405126,0.478,0.264,0.0142683353571702
"CYBRD1",4.40120095359106e-07,0.367348237985395,0.562,0.322,0.0142752952929726
"GLMN",4.4144118745655e-07,0.535702285543052,0.31,0.145,0.0143181449151532
